node_id,latitude,longitude,elevation
324,14.6411742,121.1012358,23.449885714286474
325,14.6383943,121.0980655,22.346856250000215
326,14.6558322,121.1033968,30.668821428571366
327,14.6496498,121.1019765,25.129527586207246
328,14.6373029,121.0941728,25.129527586207246
329,14.6346603,121.0841797,21.302518749999944
330,14.6385708,121.0852672,21.302518749999944
331,14.638695,121.0860526,22.24426233766321
332,14.6384354,121.0842494,22.24426233766321
333,14.6407399,121.0848891,22.707898214285812
334,14.6385469,121.0848629,22.707898214285812
335,14.6411473,121.0863398,23.21467969924781
336,14.641357,121.0876848,23.21467969924781
337,14.6356753,121.0864931,20.991828571428954
338,14.6356199,121.0863766,20.991828571428954
339,14.6408019,121.0849716,23.224830357142988
340,14.6364852,121.0873514,21.477807142856687
341,14.6370779,121.0885549,21.477807142856687
342,14.6363593,121.0875539,21.39524285714287
343,14.6368185,121.0885374,21.39524285714287
344,14.6362434,121.0877212,21.327335714285425
345,14.6366175,121.0885238,21.327335714285425
346,14.6278036,121.0886171,18.629050000000166
347,14.6327373,121.0890109,18.629050000000166
348,14.6324098,121.087152,19.220757142857202
349,14.6298367,121.0863574,19.220757142857202
350,14.6320597,121.0884742,18.825287500000012
351,14.6279702,121.0885558,18.825287500000012
352,14.6327805,121.0892505,19.459020168067727
353,14.6294566,121.093362,19.459020168067727
354,14.6339982,121.08809,18.726288571428157
355,14.6283321,121.0881937,18.726288571428157
356,14.629867,121.0889167,18.752404761904653
357,14.6319678,121.0879744,18.752404761904653
358,14.6286752,121.0885703,18.68240909090973
359,14.6314156,121.0880852,18.68240909090973
360,14.6312727,121.0905152,19.42642000000096
361,14.6329498,121.0901699,19.42642000000096
362,14.6316179,121.0923351,19.51582857142896
363,14.6323238,121.0903023,19.51582857142896
364,14.6311493,121.0899293,19.148557142858
365,14.6295542,121.0902556,18.723828571428644
366,14.6291004,121.0907454,17.836685714285878
367,14.6270743,121.0895193,17.836685714285878
368,14.6291829,121.0912717,17.76801632653038
369,14.6267107,121.0898906,17.76801632653038
370,14.6294412,121.0927466,18.244200000000255
371,14.6290197,121.0903307,18.244200000000255
372,14.6268503,121.0906643,17.558636363637326
373,14.6293911,121.092293,17.558636363637326
374,14.6266923,121.0918454,17.66014489795982
375,14.6262779,121.0922763,17.149328571428395
376,14.6270751,121.0914984,17.149328571428395
377,14.6260289,121.0898658,16.952049999999865
378,14.626414,121.0902169,16.952049999999865
379,14.6295359,121.0901379,18.48795357142884
380,14.6301018,121.0932983,18.48795357142884
381,14.6300893,121.0901526,18.715450000000367
382,14.6305828,121.0926382,18.715450000000367
383,14.6306296,121.0900544,18.94630000000007
384,14.6311198,121.0924884,18.94630000000007
385,14.6322513,121.0858802,19.420928571428902
386,14.6318276,121.0845274,19.420928571428902
387,14.6313823,121.085824,19.260078571428323
388,14.6325017,121.0877733,20.09036071428627
389,14.6345568,121.0885701,20.09036071428627
390,14.633409,121.0895124,20.0937571428578
391,14.6336764,121.0908942,20.0937571428578
392,14.6342004,121.0893647,20.264571428571102
393,14.6335709,121.0903166,20.264571428571102
394,14.6292103,121.089011,18.600922077922554
395,14.6307673,121.0882152,18.600922077922554
396,14.6274448,121.0891245,17.95089999999957
397,14.6310558,121.0895358,19.043950000000795
398,14.6274933,121.0883143,18.03928571428534
399,14.6215612,121.1025674,15.431521428571658
400,14.6237859,121.1027909,15.431521428571658
401,14.6237339,121.1033356,15.407928571428682
402,14.6215031,121.103122,15.407928571428682
403,14.6236786,121.103861,15.384657142857083
404,14.6214498,121.1036393,15.384657142857083
405,14.6298379,121.0981472,18.482728571428936
406,14.6297218,121.0977416,18.482728571428936
407,14.6300492,121.096729,18.36417142857163
408,14.6311653,121.097324,18.729897142856874
409,14.6366041,121.0968001,21.21348571428571
410,14.6357255,121.0968657,21.21348571428571
411,14.6342102,121.0947604,20.4145964285713
412,14.6343029,121.093787,20.4145964285713
413,14.6235869,121.1010347,15.069567532467627
414,14.6205614,121.1007512,15.069567532467627
415,14.6231316,121.100989,15.674521428571746
416,14.6233495,121.0989359,15.674521428571746
417,14.6229319,121.0988226,15.491714285714497
418,14.6226961,121.1009453,15.491714285714497
419,14.6222225,121.1008983,15.290114285714793
420,14.6224647,121.0986995,15.290114285714793
421,14.6220686,121.0985912,15.117464285714622
422,14.6218129,121.1008493,15.117464285714622
423,14.6214036,121.1007976,14.946999999999825
424,14.6216824,121.0984856,14.946999999999825
425,14.6213106,121.0983839,14.789478571428399
426,14.6210403,121.1007474,14.789478571428399
427,14.6207031,121.1007122,14.638792857143395
428,14.6209446,121.0982839,14.638792857143395
429,14.6323489,121.0978115,19.656448571428264
430,14.6327293,121.1008331,19.656448571428264
431,14.6282385,121.1007892,18.811497142856556
432,14.632657,121.1002591,18.811497142856556
433,14.6272862,121.1021302,17.3850326530615
434,14.6266159,121.0990717,17.160464285714312
435,14.6267996,121.1015585,17.160464285714312
436,14.6263236,121.1016385,16.958864285714608
437,14.6261511,121.0991484,16.958864285714608
438,14.6256616,121.1022911,16.720396428572098
439,14.6256853,121.0991547,16.720396428572098
440,14.6256775,121.1017653,18.04645584415575
441,14.6256993,121.1007166,16.490357142857434
442,14.6245848,121.1007429,16.490357142857434
443,14.6246908,121.0992558,16.805933928571733
444,14.6361912,121.0909219,20.792628571429127
445,14.6346878,121.0908288,20.792628571429127
446,14.6340626,121.0913713,20.816867346938512
447,14.6361455,121.0915208,20.816867346938512
448,14.6361146,121.0919281,20.677033333333654
449,14.6339175,121.0918729,20.677033333333654
450,14.6360575,121.0920748,20.653852857143683
451,14.6337893,121.0921802,20.653852857143683
452,14.6332475,121.0823964,19.89199285714316
453,14.6328924,121.082397,19.89199285714316
454,14.6348305,121.0827277,20.685389285714724
455,14.6349987,121.0822878,20.685389285714724
456,14.6307097,121.0826929,18.941007142857785
457,14.6310332,121.0814132,18.941007142857785
458,14.6329555,121.0841547,19.604805357143483
459,14.6331295,121.0852815,19.788671428571465
460,14.6325532,121.085463,19.788671428571465
461,14.6334476,121.0863165,20.00530000000002
462,14.6333794,121.0859775,19.89585714285743
463,14.6328123,121.0861224,19.89585714285743
464,14.6328696,121.0866641,20.15675714285785
465,14.6343782,121.0866962,20.15675714285785
466,14.634077,121.0867771,20.37316428571492
467,14.6343311,121.087828,20.37316428571492
468,14.6332864,121.0875003,20.19158285714279
469,14.6333233,121.0867189,19.982871428572498
470,14.6366211,121.0915782,21.28042857142902
471,14.634132,121.086196,20.435007142857252
472,14.6345647,121.0860027,20.435007142857252
473,14.6337841,121.0839907,20.096349999999745
474,14.6333203,121.0841511,20.096349999999745
475,14.6362438,121.0892961,21.81778701298743
476,14.640142,121.08904,21.81778701298743
477,14.630151,121.0952221,18.560485714286024
478,14.6299621,121.0950987,18.42226190476171
479,14.6292507,121.0948334,18.42226190476171
480,14.6293219,121.0950997,18.418000000000415
